iter	RMSE
209	4.659714142
210	4.657692975
211	4.653674258
212	4.650683103
213	4.645371599
214	4.641142006
215	4.638513985
216	4.63713678
217	4.633480955
218	4.628252285
219	4.626391127
220	4.622174588
221	4.621066467
222	4.616808634
223	4.615824218
224	4.609771156
225	4.60452918
226	4.603024473
227	4.599835413
228	4.596366722
229	4.594705001
230	4.587758627
231	4.584333722
232	4.580134524
233	4.578302017
234	4.576077921
235	4.572212472
236	4.570497084
237	4.568148637
238	4.56310572
239	4.559920474
240	4.557075487
241	4.553084962
242	4.549919387
243	4.548302138
244	4.543859536
245	4.54117325
246	4.537383959
247	4.53490006
248	4.532641355
249	4.527800812
250	4.52535501
251	4.523558694
252	4.517212984
253	4.515798932
254	4.511168863
255	4.506423592
256	4.502847556
257	4.500831578
258	4.498122316
259	4.496168524
260	4.49277762
261	4.489491647
262	4.483672739
263	4.481047315
264	4.477231263
265	4.474041857
266	4.470496419
267	4.46531535
268	4.46025305
269	4.458712263
270	4.456220313
271	4.453826948
272	4.451461467
273	4.44884297
274	4.446534334
275	4.440693076
276	4.438450961
277	4.436346324
278	4.432835233
279	4.432218036
280	4.428584881
281	4.425391261
282	4.419535135
283	4.417159734
284	4.414906069
285	4.410590823
286	4.408449276
287	4.402629813
288	4.400261775
289	4.398118515
290	4.397529721
291	4.394512355
292	4.392128057
293	4.390215604
294	4.385181094
295	4.379186161
296	4.377997927
297	4.373271829
298	4.370620164
299	4.367770776
300	4.364831916
301	4.364415246
302	4.36398408
303	4.359684182
304	4.356641235
305	4.354931728
306	4.351887789
307	4.349693908
308	4.349206943
309	4.34782978
310	4.347298881
311	4.342367888
312	4.338078119
313	4.336799195
314	4.335791781
315	4.334131906
316	4.332150934
317	4.331770978
318	4.328847968
319	4.328341428
320	4.320582374
321	4.320222634
322	4.319736751
323	4.314288929
324	4.312854968
325	4.310461451
326	4.305637302
327	4.299486205
328	4.299022312
329	4.293560178
330	4.28835901
331	4.28587634
332	4.282963048
333	4.281554839
334	4.276963959
335	4.274352648
336	4.271165741
337	4.268306979
338	4.266235738
339	4.264874577
340	4.263098137
341	4.25845691
342	4.257998434
343	4.257747981
344	4.253195944
345	4.247086711
346	4.246080345
347	4.245692967
348	4.239767018
349	4.235775003
350	4.233066687
351	4.231013877
352	4.230010899
353	4.224827925
354	4.223472436
355	4.217339355
356	4.215019339
357	4.209956464
358	4.208476341
359	4.204418722
360	4.202647012
361	4.197839747
362	4.197287914
363	4.196967515
364	4.194163911
365	4.190573488
366	4.184350926
367	4.178753683
368	4.177323709
369	4.176931185
370	4.172920125
371	4.171909076
372	4.169532924
373	4.166252148
374	4.165931787
375	4.160736975
376	4.160411273
377	4.158528595
378	4.158223472
379	4.154431216
380	4.151740694
381	4.149418861
382	4.146409993
383	4.146042612
384	4.143671095
385	4.141593351
386	4.140202585
387	4.135866196
388	4.133493992
389	4.130637149
390	4.129538953
391	4.12648252
392	4.12270039
393	4.117848023
394	4.117004125
395	4.116029553
396	4.11269449
397	4.107309763
398	4.103019781
399	4.102612018
400	4.099227327
401	4.09705416
402	4.091932492
403	4.089981574
404	4.086944299
405	4.086678445
406	4.085750992
407	4.081667512
408	4.077571278
409	4.074951875
410	4.072833855
411	4.072254533
412	4.070925864
413	4.068313236
414	4.0679783
415	4.065922986
416	4.06039008
417	4.057574713
418	4.052491108
419	4.047101078
420	4.042288758
421	4.040912606
422	4.039235766
423	4.035374237
424	4.032558394
425	4.02901552
426	4.025198971
427	4.020180945
428	4.016616667
429	4.015140343
430	4.011676538
431	4.011380926
432	4.011151433
433	4.008604399
434	4.005221601
435	4.003821588
436	4.000221048
437	3.999600084
438	3.996465726
439	3.992531746
440	3.991501017
441	3.989835085
442	3.98714161
443	3.981942451
444	3.977669326
445	3.977044483
446	3.975791081
447	3.973753022
448	3.970417941
449	3.965781186
450	3.9639135
451	3.963497017
452	3.961324701
453	3.960316261
454	3.959452901
455	3.954745649
456	3.951756446
457	3.94957578
458	3.94783492
459	3.946284698
460	3.943830335
461	3.940792297
462	3.936327061
463	3.935484582
464	3.931975673
465	3.93101423
466	3.92725393
467	3.925107617
468	3.922110335
469	3.921146304
470	3.916437452
471	3.911517772
472	3.907934429
473	3.906682152
474	3.900533458
475	3.898534816
476	3.897482074
477	3.894765957
478	3.889563456
479	3.884477237
480	3.879782039
481	3.876379354
482	3.876096627
483	3.873265823
484	3.871127766
485	3.866611403
486	3.866188798
487	3.862538922
488	3.86043124
489	3.858460408
490	3.853950737
491	3.851555433
492	3.849701543
493	3.848985023
494	3.84288326
495	3.841765144
496	3.837692692
497	3.836764066
498	3.83649421
499	3.834298092
500	3.832989652
501	3.828417416
502	3.824019352
503	3.822829764
504	3.819933815
505	3.816997467
506	3.815036171
507	3.814784157
508	3.813670448
509	3.812891602
510	3.809357125
511	3.809031133
512	3.805976684
513	3.802487265
514	3.798485159
515	3.796118131
516	3.789700218
517	3.789174821
518	3.783945253
519	3.783176399
520	3.7803332
521	3.777872543
522	3.776850575
523	3.774425102
524	3.772170663
525	3.771973652
526	3.769729351
527	3.769000578
528	3.768689272
529	3.766226154
530	3.765604992
531	3.764512332
532	3.761927443
533	3.759978032
534	3.757591319
535	3.754151843
536	3.751102502
537	3.74907971
538	3.746556558
539	3.742601226
540	3.741464861
541	3.738822315
542	3.73741828
543	3.733776694
544	3.730076504
545	3.727622397
546	3.723792554
547	3.722349606
548	3.7180291
549	3.716203437
550	3.713789024
551	3.711749741
552	3.71111571
553	3.7089962
554	3.706500401
555	3.704057494
556	3.700559731
557	3.698830776
558	3.696515288
559	3.691926334
560	3.689228943
561	3.689029956
562	3.685725101
563	3.680598243
564	3.677391354
565	3.676374347
566	3.674328622
567	3.671642607
568	3.670090876
569	3.669891178
570	3.667621914
571	3.666113008
572	3.664215174
573	3.662903318
574	3.662384911
575	3.661761678
576	3.66044639
577	3.656591377
578	3.655990098
579	3.652352472
580	3.652096339
581	3.650011075
582	3.648786363
583	3.646503255
584	3.645545187
585	3.643092866
586	3.641535432
587	3.640401683
588	3.638688698
589	3.63510868
590	3.633251589
591	3.630143811
592	3.629681983
593	3.623102206
594	3.620660854
595	3.618235562
596	3.614987331
597	3.612949895
598	3.609195837
599	3.605255688
600	3.604515249
601	3.601015016
602	3.598265307
603	3.597181965
604	3.593995909
605	3.589891924
606	3.584822056
607	3.580490419
608	3.577859261
609	3.576027179
610	3.573383511
611	3.572449339
612	3.572168753
613	3.568051745
614	3.566908208
615	3.564819119
616	3.563802601
617	3.561994599
618	3.561428166
619	3.556869432
620	3.555720124
621	3.554755769
622	3.553498137
623	3.548894992
624	3.545465936
625	3.541915497
626	3.540238675
627	3.538545459
628	3.538219647
629	3.536872647
630	3.534791904
631	3.533356684
632	3.53159998
633	3.529825971
634	3.528056389
635	3.52602
636	3.523208314
637	3.520293936
638	3.517066049
639	3.51503911
640	3.513778855
641	3.511821058
642	3.50996644
643	3.507076075
644	3.50291201
645	3.502171537
646	3.499538879
647	3.49424984
648	3.491013412
649	3.4894837
650	3.487926057
651	3.48532482
652	3.483256479
653	3.481622823
654	3.47787298
655	3.476412377
656	3.475881166
657	3.475203346
658	3.475035579
659	3.472181505
660	3.471499922
661	3.470723709
662	3.465671384
663	3.464349896
664	3.462365637
665	3.460337246
666	3.458355588
667	3.454440481
668	3.45307071
669	3.451769561
670	3.450734917
671	3.447962697
672	3.445785204
673	3.444746169
674	3.441829357
675	3.439843618
676	3.438734359
677	3.436678279
678	3.436485792
679	3.434376567
680	3.431285894
681	3.426219842
682	3.425057406
683	3.4234986
684	3.423223111
685	3.421504087
686	3.419927372
687	3.416018974
688	3.415465205
689	3.412191529
690	3.408022305
691	3.406417751
692	3.402989585
693	3.402631364
694	3.402035752
695	3.399649355
696	3.39644711
697	3.394418938
698	3.394202884
699	3.393254382
700	3.39174428
701	3.390265058
702	3.387281892
703	3.385578951
704	3.38075686
705	3.378870082
706	3.377060761
707	3.375472854
708	3.371778563
709	3.369135849
710	3.368078961
711	3.365604253
712	3.363385046
713	3.362221109
714	3.360278047
715	3.35981156
716	3.3557339
717	3.355606028
718	3.355444258
719	3.354444872
720	3.351344494
721	3.349929078
722	3.348635686
723	3.347849128
724	3.344896207
725	3.344559577
726	3.343046436
727	3.340302119
728	3.337552284
729	3.337397766
730	3.336107138
731	3.334576403
732	3.333716874
733	3.332060104
734	3.331083029
735	3.329600914
736	3.327769865
737	3.325401378
738	3.323315641
739	3.322496273
740	3.320743799
741	3.318688888
742	3.317836828
743	3.315750739
744	3.313746084
745	3.311067878
746	3.30904734
747	3.308901473
748	3.306416254
749	3.303089499
750	3.301903425
751	3.30016532
752	3.298694181
753	3.294385572
754	3.293037526
755	3.289834529
756	3.289709419
757	3.287127887
758	3.285203462
759	3.283257458
760	3.281586196
761	3.280311443
762	3.279993321
763	3.276466543
764	3.274271364
765	3.272296049
766	3.271223743
767	3.269989434
768	3.269519961
769	3.269093738
770	3.268981771
771	3.267522069
772	3.263657455
773	3.260700972
774	3.257593052
775	3.25584312
776	3.25430561
777	3.24997324
778	3.249599117
779	3.249072419
780	3.246161956
781	3.241481874
782	3.240836433
783	3.238522683
784	3.237681768
785	3.235193841
786	3.232391561
787	3.231835933
788	3.231709618
789	3.228261166
790	3.225128353
791	3.221584219
792	3.220711978
793	3.219564225
794	3.217465228
795	3.214926407
796	3.211877222
797	3.210638406
798	3.208485015
799	3.206034807
800	3.203612046
801	3.200857218
802	3.199055043
803	3.196389537
804	3.193799839
805	3.189662093
806	3.185402407
807	3.183444913
808	3.180823965
809	3.178842159
810	3.177949775
811	3.176780398
812	3.174221888
813	3.171347133
814	3.170989504
815	3.170782286
816	3.167986853
817	3.165942867
818	3.164818218
819	3.164665672
820	3.16366027
821	3.161822379
822	3.159813688
823	3.15761561
824	3.157487096
825	3.153507625
826	3.150126447
827	3.15002756
828	3.148582054
829	3.146484264
830	3.143615067
831	3.140872574
832	3.139830448
833	3.139283598
834	3.138273448
835	3.138144649
836	3.135906175
837	3.13579702
838	3.135674149
839	3.133677506
840	3.132261646
841	3.129171563
842	3.127164969
843	3.125786736
844	3.124297039
845	3.123644703
846	3.123560208
847	3.121872432
848	3.120652892
849	3.118673275
850	3.114243962
851	3.112738529
852	3.111813578
853	3.10940162
854	3.107420681
855	3.107022711
856	3.106232414
857	3.105905844
858	3.103503652
859	3.103438372
860	3.102221798
861	3.102000155
862	3.101218278
863	3.100875659
864	3.099536193
865	3.096854714
866	3.095819423
867	3.092741658
868	3.092625669
869	3.092505341
870	3.089149995
871	3.088488253
872	3.086409199
873	3.08613606
874	3.084945719
875	3.081761661
876	3.079394721
877	3.078098564
878	3.077987158
879	3.077911098
880	3.077494728
881	3.076236252
882	3.07539969
883	3.07423164
884	3.074084171
885	3.073487307
886	3.07126187
887	3.07001732
888	3.067297666
889	3.066355014
890	3.065979708
891	3.062939518
892	3.060580022
893	3.060290263
894	3.058045673
895	3.057192879
896	3.055808656
897	3.054519208
898	3.053549642
899	3.053497039
900	3.053012614
901	3.050421277
902	3.049214376
903	3.046244438
904	3.043974152
905	3.041572677
906	3.038395337
907	3.036919387
908	3.036321428
909	3.035169737
910	3.032788807
911	3.030132031
912	3.028459065
913	3.026779399
914	3.025166139
915	3.022265542
916	3.022084579
917	3.019276381
918	3.017785923
919	3.016440548
920	3.01365053
921	3.012927013
922	3.012841805
923	3.011566419
924	3.010259217
925	3.007586986
926	3.007484114
927	3.005428336
928	3.005365234
929	3.004527047
930	3.001014075
931	2.99958056
932	2.996723653
933	2.99484607
934	2.994751713
935	2.992224788
936	2.992116107
937	2.989866536
938	2.988780208
939	2.988087973
940	2.987998
941	2.987125698
942	2.985855832
943	2.984654988
944	2.983599215
945	2.981732614
946	2.978977272
947	2.976883361
948	2.974482204
949	2.9733565
950	2.972323131
951	2.970918219
952	2.968742226
953	2.967210575
954	2.964516356
955	2.963880181
956	2.962697005
957	2.959478462
958	2.957453472
959	2.95474672
960	2.953013476
961	2.951657916
962	2.950082716
963	2.948307374
964	2.946633137
965	2.944708206
966	2.942879663
967	2.942820483
968	2.940260212
969	2.937870196
970	2.936693303
971	2.935851349
972	2.934377263
973	2.933620758
974	2.93149382
975	2.930400225
976	2.929948613
977	2.927586164
978	2.926381298
979	2.926088594
980	2.923751629
981	2.923585914
982	2.92188063
983	2.921301558
984	2.9201827
985	2.919911424
986	2.918660932
987	2.91807239
988	2.91762093
989	2.916411587
990	2.915310367
991	2.914746851
992	2.912275059
993	2.910181481
994	2.906450612
995	2.906420631
996	2.906371487
997	2.9054595
998	2.9022963
999	2.902167899
